Data transakcji;Data ksiêgowania;Szczegó³y transakcji;Typ transakcji;Kategoria;Kwota operacji;Waluta operacji
29.07.2023;31.07.2023;APPLE.COM;P³atnoœæ kart¹ debetow¹;APPLE.COM;-5;USD
29.07.2023;31.07.2023;REKREACJA 01 Gdow PL;P³atnoœæ kart¹ kredytow¹;Atrakcje Turystyczne;-70;PLN
26.07.2023;28.07.2023;JMP S.A. BIEDRONKA 721 LUBORZYCA PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-169,96;PLN
26.07.2023;28.07.2023;JMP S.A. BIEDRONKA 721 LUBORZYCA PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-174,42;PLN
26.07.2023;28.07.2023;Przetworstwo Rybne Kr Poskwitow PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-53,1;PLN
23.07.2023;25.07.2023;FIRMA HANDLOWO-USLUG MIECHOW PL;P³atnoœæ kart¹ debetow¹;Sklepy budowlane;-59;PLN
22.07.2023;24.07.2023;LIDL RACLAWICKA Miechow PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-88,68;PLN
21.07.2023;23.07.2023;ROSSMANN 36 Krakow PL;P³atnoœæ kart¹ debetow¹;Drogeria;-4,99;PLN
19.07.2023;21.07.2023;JMP S.A. BIEDRONKA 721 LUBORZYCA PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-9,99;PLN
19.07.2023;21.07.2023;JMP S.A. BIEDRONKA 721 LUBORZYCA PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-48,02;PLN
19.07.2023;21.07.2023;JMP S.A. BIEDRONKA 721 LUBORZYCA PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-204,61;PLN
18.07.2023;20.07.2023;AkwaReks K. Jodlowski Krakow PL;P³atnoœæ kart¹ debetow¹;Sklepy zoologiczne;-284,4;PLN
17.07.2023;19.07.2023;Grandioso Catering Krakow PL;P³atnoœæ kart¹ debetow¹;Restauracje, gastronomia;-7;PLN
17.07.2023;19.07.2023;DELIKATESY CENTRUM SLOMNIKI PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-23,05;PLN
17.07.2023;19.07.2023;ZARA CH SERENADA 3609 Krakow PL;P³atnoœæ kart¹ debetow¹;Sklepy z odzie¿¹;-49,9;PLN
15.07.2023;17.07.2023;AllegroPay POZNAN PL;P³atnoœæ kart¹ debetow¹;Allegro;-447,96;PLN
15.07.2023;17.07.2023;STACJA PALIW NR 7427 Kolaczyce PL;P³atnoœæ kart¹ debetow¹;Stacja paliw;-10,49;PLN
12.07.2023;14.07.2023;DELIKATESY CENTRUM SLOMNIKI PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-35,38;PLN
11.07.2023;13.07.2023;BOBO WOZKI KRAKOW PL;P³atnoœæ kart¹ debetow¹;Sklep z akcesiorami dzieciêcymi;-1299;PLN
11.07.2023;13.07.2023;Alma Krakow Sp. z o.o Krakow PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-34,12;PLN
11.07.2023;13.07.2023;ORLEN STACJA NR 1319 Krakow PL;P³atnoœæ kart¹ debetow¹;Stacja paliw;-177,37;PLN
09.07.2023;11.07.2023;gemini.pl Gdansk PL;P³atnoœæ kart¹ debetow¹;Apteki;-320,91;PLN
09.07.2023;11.07.2023;DELIKATESY CENTRUM SLOMNIKI PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-22,25;PLN
08.07.2023;10.07.2023;YOMMIX SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-37,9;PLN
08.07.2023;10.07.2023;YOMMIX SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-39,9;PLN
08.07.2023;10.07.2023;YOMMIX SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-109,79;PLN
08.07.2023;10.07.2023;YOMMIX SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-35,25;PLN
08.07.2023;10.07.2023;YOMMIX SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-141;PLN
08.07.2023;10.07.2023;YOMMIX SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-59,88;PLN
08.07.2023;10.07.2023;DELIKATESY CENTRUM SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy spo¿ywcze;-54,38;PLN
07.07.2023;09.07.2023;YOMMIX SLOMNIKI PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-46,9;PLN
06.07.2023;09.07.2023;CASTORAMA KRAKOW PILO Krakow PL;P³atnoœæ kart¹ kredytow¹;Sklepy budowlane;-582,98;PLN
06.07.2023;08.07.2023;JMP S.A. BIEDRONKA 721 LUBORZYCA PL;P³atnoœæ kart¹ debetow¹;Sklepy spo¿ywcze;-80,19;PLN
